"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045252","GO:0045252","oxoglutarate dehydrogenase complex","1/96","6/18122",0.0313708621673739,0.2179003128923,0.187421936135093,"MRPS36",1
"GO:0030991","GO:0030991","intraciliary transport particle A","1/96","7/18122",0.0365038052691589,0.237638361402468,0.204399164016048,"WDR35",1
"GO:0071546","GO:0071546","pi-body","1/96","7/18122",0.0365038052691589,0.237638361402468,0.204399164016048,"DDX4",1
"GO:0032432","GO:0032432","actin filament bundle","2/96","58/18122",0.0378921958776069,0.237638361402468,0.204399164016048,"MICALL2/MYH9",2
"GO:0016529","GO:0016529","sarcoplasmic reticulum","2/96","60/18122",0.0403004272687765,0.237638361402468,0.204399164016048,"THBS4/ASPH",2
"GO:0042641","GO:0042641","actomyosin","2/96","61/18122",0.0415258127263002,0.237638361402468,0.204399164016048,"MICALL2/MYH9",2
"GO:0001520","GO:0001520","outer dense fiber","1/96","8/18122",0.0416098298175527,0.237638361402468,0.204399164016048,"ODF4",1
"GO:0033646","GO:0033646","host intracellular part","1/96","8/18122",0.0416098298175527,0.237638361402468,0.204399164016048,"SCO1",1
"GO:0043656","GO:0043656","intracellular region of host","1/96","8/18122",0.0416098298175527,0.237638361402468,0.204399164016048,"SCO1",1
"GO:0019898","GO:0019898","extrinsic component of membrane","4/96","257/18122",0.0477439800575134,0.260737492025048,0.224267349274053,"JAKMIP1/CYTH3/MUC16/EHD2",4
"GO:0016528","GO:0016528","sarcoplasm","2/96","67/18122",0.0491646464699034,0.260737492025048,0.224267349274053,"THBS4/ASPH",2
"GO:0016461","GO:0016461","unconventional myosin complex","1/96","10/18122",0.0517416812967995,0.260737492025048,0.224267349274053,"MYO7A",1
"GO:0031462","GO:0031462","Cul2-RING ubiquitin ligase complex","1/96","10/18122",0.0517416812967995,0.260737492025048,0.224267349274053,"ZYG11B",1
"GO:0033643","GO:0033643","host cell part","1/96","10/18122",0.0517416812967995,0.260737492025048,0.224267349274053,"SCO1",1
"GO:0045240","GO:0045240","dihydrolipoyl dehydrogenase complex","1/96","10/18122",0.0517416812967995,0.260737492025048,0.224267349274053,"MRPS36",1
"GO:0016459","GO:0016459","myosin complex","2/96","71/18122",0.0545173237075987,0.267596040163377,0.230166571510584,"MYO7A/MYH9",2
"GO:0005901","GO:0005901","caveola","2/96","72/18122",0.0558864528836564,0.267596040163377,0.230166571510584,"EHD2/MLC1",2
"GO:0070938","GO:0070938","contractile ring","1/96","11/18122",0.056767785459537,0.267596040163377,0.230166571510584,"MYH9",1
"GO:0070603","GO:0070603","SWI/SNF superfamily-type complex","2/96","73/18122",0.0572676350544191,0.267596040163377,0.230166571510584,"ARID1A/SALL2",2
"GO:0045239","GO:0045239","tricarboxylic acid cycle enzyme complex","1/96","12/18122",0.0617675255399235,0.277481389109436,0.238669226758065,"MRPS36",1
"GO:0071564","GO:0071564","npBAF complex","1/96","12/18122",0.0617675255399235,0.277481389109436,0.238669226758065,"ARID1A",1
"GO:0005911","GO:0005911","cell-cell junction","5/96","406/18122",0.0645923851815894,0.277481389109436,0.238669226758065,"MICALL2/FRMD4A/EVPL/MYH9/MLC1",5
"GO:0001931","GO:0001931","uropod","1/96","13/18122",0.0667410383807944,0.277481389109436,0.238669226758065,"MYH9",1
"GO:0031254","GO:0031254","cell trailing edge","1/96","13/18122",0.0667410383807944,0.277481389109436,0.238669226758065,"MYH9",1
"GO:0071565","GO:0071565","nBAF complex","1/96","14/18122",0.0716884601222184,0.277481389109436,0.238669226758065,"ARID1A",1
"GO:0017053","GO:0017053","transcriptional repressor complex","2/96","85/18122",0.0747239353426477,0.277481389109436,0.238669226758065,"SALL2/ZFPM1",2
"GO:0044853","GO:0044853","plasma membrane raft","2/96","85/18122",0.0747239353426477,0.277481389109436,0.238669226758065,"EHD2/MLC1",2
"GO:0098858","GO:0098858","actin-based cell projection","3/96","186/18122",0.0761773764198449,0.277481389109436,0.238669226758065,"ZSWIM6/ADGRV1/MYO7A",3
"GO:0005639","GO:0005639","integral component of nuclear inner membrane","1/96","15/18122",0.0766099262050692,0.277481389109436,0.238669226758065,"ANKLE1",1
"GO:0016514","GO:0016514","SWI/SNF complex","1/96","15/18122",0.0766099262050692,0.277481389109436,0.238669226758065,"ARID1A",1
"GO:0018995","GO:0018995","host","1/96","15/18122",0.0766099262050692,0.277481389109436,0.238669226758065,"SCO1",1
"GO:0031229","GO:0031229","intrinsic component of nuclear inner membrane","1/96","15/18122",0.0766099262050692,0.277481389109436,0.238669226758065,"ANKLE1",1
"GO:0043657","GO:0043657","host cell","1/96","15/18122",0.0766099262050692,0.277481389109436,0.238669226758065,"SCO1",1
"GO:0005802","GO:0005802","trans-Golgi network","3/96","189/18122",0.0790643987711174,0.277481389109436,0.238669226758065,"BIRC6/PI4K2B/AP1G1",3
"GO:0005667","GO:0005667","transcription factor complex","4/96","307/18122",0.0803031033413226,0.277481389109436,0.238669226758065,"PBX1/ZFPM1/TP53/HNF1B",4
"GO:0030014","GO:0030014","CCR4-NOT complex","1/96","16/18122",0.0815055713745788,0.277481389109436,0.238669226758065,"CNOT2",1
"GO:0044453","GO:0044453","nuclear membrane part","1/96","16/18122",0.0815055713745788,0.277481389109436,0.238669226758065,"ANKLE1",1
"GO:0071782","GO:0071782","endoplasmic reticulum tubular network","1/96","16/18122",0.0815055713745788,0.277481389109436,0.238669226758065,"ASPH",1
"GO:0031984","GO:0031984","organelle subcompartment","4/96","309/18122",0.0817895766755085,0.277481389109436,0.238669226758065,"BIRC6/PI4K2B/ASPH/AP1G1",4
"GO:0016581","GO:0016581","NuRD complex","1/96","17/18122",0.0863755296838711,0.277481389109436,0.238669226758065,"SALL2",1
"GO:0043186","GO:0043186","P granule","1/96","17/18122",0.0863755296838711,0.277481389109436,0.238669226758065,"DDX4",1
"GO:0045495","GO:0045495","pole plasm","1/96","17/18122",0.0863755296838711,0.277481389109436,0.238669226758065,"DDX4",1
"GO:0060293","GO:0060293","germ plasm","1/96","17/18122",0.0863755296838711,0.277481389109436,0.238669226758065,"DDX4",1
"GO:0090545","GO:0090545","CHD-type complex","1/96","17/18122",0.0863755296838711,0.277481389109436,0.238669226758065,"SALL2",1
"GO:0045095","GO:0045095","keratin filament","2/96","96/18122",0.0920030525802614,0.29191091991515,0.251080455384729,"KRTAP5-5/KRTAP9-8",2
"GO:0016363","GO:0016363","nuclear matrix","2/96","100/18122",0.0985508413433956,0.301325368769342,0.259178076762489,"DGKQ/TP53",2
"GO:0044215","GO:0044215","other organism","1/96","20/18122",0.100832613673787,0.301325368769342,0.259178076762489,"SCO1",1
"GO:0044216","GO:0044216","other organism cell","1/96","20/18122",0.100832613673787,0.301325368769342,0.259178076762489,"SCO1",1
"GO:0044217","GO:0044217","other organism part","1/96","20/18122",0.100832613673787,0.301325368769342,0.259178076762489,"SCO1",1
"GO:0098827","GO:0098827","endoplasmic reticulum subcompartment","1/96","20/18122",0.100832613673787,0.301325368769342,0.259178076762489,"ASPH",1
"GO:0042470","GO:0042470","melanosome","2/96","106/18122",0.108609114310163,0.317187981564909,0.272821937860459,"MYO7A/SLC1A5",2
"GO:0048770","GO:0048770","pigment granule","2/96","106/18122",0.108609114310163,0.317187981564909,0.272821937860459,"MYO7A/SLC1A5",2
"GO:0032982","GO:0032982","myosin filament","1/96","22/18122",0.110344662180481,0.31863570989195,0.274067168041406,"MYH9",1
"GO:0090544","GO:0090544","BAF-type complex","1/96","23/18122",0.115063276126927,0.328569577384669,0.28261155539947,"ARID1A",1
"GO:0005923","GO:0005923","bicellular tight junction","2/96","114/18122",0.122419890277234,0.339553356272526,0.292058999865781,"MICALL2/FRMD4A",2
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","3/96","231/18122",0.124127530260982,0.339553356272526,0.292058999865781,"KRTAP5-5/EVPL/KRTAP9-8",3
"GO:0030057","GO:0030057","desmosome","1/96","25/18122",0.124426329938703,0.339553356272526,0.292058999865781,"EVPL",1
"GO:0005938","GO:0005938","cell cortex","3/96","234/18122",0.127646875209242,0.339553356272526,0.292058999865781,"ASPH/MYO7A/MYH9",3
"GO:0070160","GO:0070160","occluding junction","2/96","117/18122",0.127705581033636,0.339553356272526,0.292058999865781,"MICALL2/FRMD4A",2
"GO:0000314","GO:0000314","organellar small ribosomal subunit","1/96","26/18122",0.129071026425738,0.339553356272526,0.292058999865781,"MRPS36",1
"GO:0005763","GO:0005763","mitochondrial small ribosomal subunit","1/96","26/18122",0.129071026425738,0.339553356272526,0.292058999865781,"MRPS36",1
